participant,condition,session_date,reaction_ms,accuracy,correct
P05,incongruent,2026-01-25,646,0.951,true
P06,neutral,2026-01-26,353,0.960,true
P07,congruent,2026-01-27,355,0.848,false
P08,incongruent,2026-01-28,497,0.895,false
P01,neutral,2026-01-01,259,0.985,true
P02,congruent,2026-01-02,337,0.915,true
P03,incongruent,2026-01-03,573,0.910,true
P04,neutral,2026-01-04,352,0.973,true
P05,congruent,2026-02-05,202,0.955,true
P06,incongruent,2026-02-06,596,0.996,true
P07,neutral,2026-02-07,336,0.921,true
P08,congruent,2026-02-08,365,0.974,true
P01,incongruent,2026-02-09,299,0.892,false
P02,neutral,2026-02-10,567,0.955,true
P03,congruent,2026-02-11,417,0.966,true
P04,incongruent,2026-02-12,618,0.942,true
P05,neutral,2026-02-13,356,0.869,false
P06,congruent,2026-02-14,205,0.952,true
P07,incongruent,2026-02-15,581,0.964,true
P08,neutral,2026-02-16,413,0.883,false
P01,congruent,2026-02-17,325,0.984,true
P02,incongruent,2026-02-18,372,0.941,true
P03,neutral,2026-02-19,417,0.895,false
P04,congruent,2026-02-20,365,0.944,true
P05,incongruent,2026-02-21,391,0.961,true
P06,neutral,2026-02-22,434,0.884,false
P07,congruent,2026-02-23,473,0.873,false
P08,incongruent,2026-02-24,567,0.986,true
P01,neutral,2026-02-25,466,0.903,true
P02,congruent,2026-02-26,685,0.983,true
P03,incongruent,2026-02-27,358,0.989,true
P04,neutral,2026-02-28,248,0.989,true
P05,congruent,2026-02-01,563,0.996,true
P06,incongruent,2026-02-02,518,0.851,false
P07,neutral,2026-02-03,559,0.970,true
P08,congruent,2026-02-04,441,0.953,true
P01,incongruent,2026-02-05,519,0.934,true
P02,neutral,2026-02-06,505,0.925,true
P03,congruent,2026-02-07,644,0.993,true
P04,incongruent,2026-02-08,421,0.951,true
P05,neutral,2026-02-09,406,0.994,true
P06,congruent,2026-02-10,611,0.965,true
P07,incongruent,2026-02-11,574,0.985,true
P08,neutral,2026-02-12,345,0.903,true
P01,congruent,2026-02-13,260,0.906,true
P02,incongruent,2026-02-14,406,0.962,true
P03,neutral,2026-02-15,285,0.956,true
P04,congruent,2026-02-16,435,0.945,true
P05,incongruent,2026-02-17,712,0.899,false
P06,neutral,2026-02-18,392,0.885,false
P07,congruent,2026-02-19,386,0.834,false
P08,incongruent,2026-02-20,367,0.933,true
P01,neutral,2026-02-21,407,0.931,true
P02,congruent,2026-02-22,359,0.923,true
P03,incongruent,2026-02-23,426,0.980,true
P04,neutral,2026-02-24,466,0.975,true
P05,congruent,2026-02-25,360,0.874,false
P06,incongruent,2026-02-26,463,0.979,true
P07,neutral,2026-02-27,277,0.952,true
P08,congruent,2026-02-28,770,0.890,false
P01,incongruent,2026-02-01,310,0.960,true
P02,neutral,2026-02-02,194,0.996,true
P03,congruent,2026-02-03,275,0.951,true
P04,incongruent,2026-02-04,366,0.974,true
P05,neutral,2026-02-05,181,0.972,true
P06,congruent,2026-02-06,334,0.925,true
P07,incongruent,2026-02-07,424,0.944,true
P08,neutral,2026-02-08,487,0.922,true
P01,congruent,2026-03-09,497,0.966,true
P02,incongruent,2026-03-10,305,0.936,true
P03,neutral,2026-03-11,444,0.967,true
P04,congruent,2026-03-12,473,0.967,true
P05,incongruent,2026-03-13,395,0.973,true
P06,neutral,2026-03-14,568,0.954,true
P07,congruent,2026-03-15,366,0.914,true
P08,incongruent,2026-03-16,370,0.902,true
P01,neutral,2026-03-17,358,0.957,true
P02,congruent,2026-03-18,424,0.915,true
P03,incongruent,2026-03-19,529,0.968,true
P04,neutral,2026-03-20,388,0.980,true
P05,congruent,2026-03-21,382,0.978,true
P06,incongruent,2026-03-22,386,0.892,false
P07,neutral,2026-03-23,242,0.913,true
P08,congruent,2026-03-24,233,1.000,true
P01,incongruent,2026-03-25,360,0.977,true
P02,neutral,2026-03-26,372,0.953,true
P03,congruent,2026-03-27,231,0.983,true
P04,incongruent,2026-03-28,252,0.959,true
P05,neutral,2026-03-01,348,0.956,true
P06,congruent,2026-03-02,578,0.966,true
P07,incongruent,2026-03-03,672,0.963,true
P08,neutral,2026-03-04,468,0.962,true
P01,congruent,2026-03-05,514,0.974,true
P02,incongruent,2026-03-06,558,0.991,true
P03,neutral,2026-03-07,435,0.999,true
P04,congruent,2026-03-08,335,0.996,true
P05,incongruent,2026-03-09,336,0.985,true
P06,neutral,2026-03-10,400,0.932,true
P07,congruent,2026-03-11,319,0.955,true
P08,incongruent,2026-03-12,605,0.989,true
P01,neutral,2026-03-13,244,0.917,true
P02,congruent,2026-03-14,398,0.932,true
P03,incongruent,2026-03-15,412,0.949,true
P04,neutral,2026-03-16,163,0.848,false
P05,congruent,2026-03-17,239,0.947,true
P06,incongruent,2026-03-18,396,0.987,true
P07,neutral,2026-03-19,273,0.929,true
P08,congruent,2026-03-20,681,0.932,true
P01,incongruent,2026-03-21,383,0.924,true
P02,neutral,2026-03-22,297,0.984,true
P03,congruent,2026-03-23,177,0.968,true
P04,incongruent,2026-03-24,634,0.900,true
P05,neutral,2026-03-25,776,0.941,true
P06,congruent,2026-03-26,319,0.975,true
P07,incongruent,2026-03-27,744,0.937,true
P08,neutral,2026-03-28,684,0.934,true
P01,congruent,2026-03-01,446,0.938,true
P02,incongruent,2026-03-02,699,0.926,true
P03,neutral,2026-03-03,469,0.946,true
P04,congruent,2026-03-04,321,0.946,true
P05,incongruent,2026-03-05,383,0.913,true
P06,neutral,2026-03-06,386,0.955,true
P07,congruent,2026-03-07,306,0.991,true
P08,incongruent,2026-03-08,334,0.975,true
P01,neutral,2026-03-09,510,0.947,true
P02,congruent,2026-03-10,503,0.980,true
P03,incongruent,2026-03-11,341,0.975,true
P04,neutral,2026-03-12,586,0.948,true
